,Artist,Track,Popularity,Track_Number,Album_Name,Total_Tracks,Release_Date
41,Cardi B,Please Me,78,1,Please Me,1,2019-02-15
42,Lil Nas X,Old Town Road - Remix,82,1,7 EP,8,2019-06-21
43,Wallows,Remember When,75,9,Nothing Happens,11,2019-03-22
44,Taylor Swift,The Man,78,4,Lover,18,2019-08-23
45,Camila Cabello,My Oh My (feat. DaBaby),79,4,Romance,14,2019-12-06
46,Billie Eilish,wish you were gay,78,6,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",14,2019-03-29
47,MarMar Oso,Ruthless (Nice Guys Always Finish Last),76,3,Oso Different,12,2019-08-14
48,Calboy,Envy Me,75,1,Wildboy,10,2019-05-31
0,Machine Gun Kelly,Candy (feat. Trippie Redd),75,11,Hotel Diablo,14,2019-07-05
1,Matt Maeson,Hallucinogenics,74,6,Bank On The Funeral,12,2019-04-05
2,BTS,Boy With Luv (feat. Halsey),83,2,MAP OF THE SOUL : PERSONA,7,2019-04-12
3,Kygo,Higher Love,79,1,Higher Love,1,2019-06-28
4,24kGoldn,CITY OF ANGELS,77,4,DROPPED OUTTA COLLEGE,8,2019-11-22
5,DaniLeigh,Easy,74,1,Easy (Remix),1,2019-05-31
6,Harry Styles,Cherry,76,5,Fine Line,12,2019-12-13
7,Shawn Mendes,Señorita,83,1,Señorita,1,2019-06-21
8,BabyJake,Cigarettes On Patios,74,1,Cigarettes On Patios,1,2019-06-07
9,Jaden,Summertime In Paris,76,11,ERYS (Deluxe),20,2019-07-05
10,Regard,Ride It,84,1,Ride It,1,2019-07-26
11,khai dreams,Sunkissed,75,1,Now and Then,7,2019-10-11
12,Labrinth,Nate Growing Up,77,6,Euphoria (Original Score from the HBO Series),26,2019-10-04
13,Lizzo,Juice,77,3,Cuz I Love You,11,2019-04-19
14,Taylor Swift,ME! (feat. Brendon Urie of Panic! At The Disco),79,16,Lover,18,2019-08-23
15,Dean Lewis,Waves,79,5,A Place We Knew,12,2019-03-22
16,Olivia Rodrigo,"All I Want - From ""High School Musical: The Musical: The Series""",78,1,"All I Want (From ""High School Musical: The Musical: The Series"")",2,2019-11-27
